size            counting           bublle              merge
50000           0.009555          10.022582           0.008299
100000          0.001243          34.446488           0.015469
150000          0.001873          69.376412           0.023941
200000          0.002224          140.054993          0.033951
250000          0.002766          205.803745          0.042081
300000          0.003269          296.535462          0.050914
350000          0.003880          406.100864          0.062172
400000          0.004703          523.798437          0.069055
450000          0.004913          665.634964          0.078877
500000          0.006067          824.066206          0.090733
550000          0.006591          997.786102          0.101302
600000          0.007382          1181.343509         0.106898
650000          0.007371          1388.987475         0.117110
700000          0.007822          1590.240902         0.137604
750000          0.008282          1812.665316         0.135786
800000          0.009449          2124.729374         0.147053
850000          0.010413          2548.465416         0.201511
900000          0.014144          2827.650616         0.164590
950000          0.012251          2920.834604         0.170308
1000000         0.012062          3394.592083         0.288001
